Name,Value,Description
Water Bodies,0,At least 60% of area is covered by permanent water bodies.
Grasslands,1,Dominated by herbaceous annuals (<2m) including cereal croplands
Shrublands,2,Shrub (1-2m) cover>10%.
Broadleaf Croplands,3,Dminated by herbaceous annuals (<2m) that are cultivated with broadleaf crops.
Savannas,4,Between 10-60% tree cover (>2m)
Evergreen Broadleaf Forests,5,Dominated by evergreen broadleaf and palmatetrees (canopy>2m). Tree cover>60%.
Deciduous Broadleaf Forests,6,Dominated by deciduous broadleaf trees (canopy>2m). Tree cover>60%.
Evergreen Needleleaf Forests,7,Dominated by evergreen conifer trees (canopy>2m). Tree cover>60%.
Deciduous Needleleaf Forests,8,Dominated by deciduous needleleaf (larch) trees (canopy>2m). Tree cover>60%
Non-Vegetated Lands,9,"At least 60% of area is non-vegetated barren (sand, rock, soil) or permanent snow and ice with less than 10% vegetation"
Urban and Built-up Lands,10,"At least 30% impervious surface area includingbuilding materials, asphalt, and vehicles."
Unclassified,255,Has not received a map label because of missing inputs.
